74,81,81,100,0
76,56,56,100,0
81,93,93,100,0
75,80,80,100,0
83,83,83,100,0
99,87,87,100,0
62,69,69,100,0
74,74,74,100,0
63,65,65,100,0
55,68,68,100,0
65,77,77,100,0
89,92,92,100,0
92,79,79,100,0
72,82,82,100,0
86,95,95,100,0
79,67,67,100,0
75,69,69,100,0
92,95,95,100,0
83,79,79,100,0
56,53,53,100,0
79,88,88,100,1
92,97,97,100,1
99,89,89,100,1
99,88,88,100,1
82,91,91,100,1
88,99,99,100,1
76,93,93,100,1
85,86,86,100,1
87,94,94,100,1
83,87,87,100,1
69,82,82,100,1
81,83,83,100,1
70,92,92,100,1
98,89,89,100,1
90,95,95,100,1
95,88,88,100,1
95,90,90,100,1
100,85,85,100,1
58,77,77,100,1
82,94,94,100,1
